Landing Page,Impressions,Url Clicks,URL CTR,title,subtitle,date_published,date_updated
https://www.israelhayom.co.il/health/article/15919135,459556,39573,0.08611137707,"""בזמן הטיפול בחטופים ראינו את פרופ' פסח בוכה ובכינו יחד איתו""","פרופ' איתי פסח, מנהל ביה""ח ספרא לילדים בשיבא, מרכז מאז נובמבר את הטיפול בחטופים ששוחררו • הוא מי שאחראי לתכלול כל הטיפול בהם, בימים ובלילות אינטנסיביים של שמחה ואדרנלין, לצד כאב והתמודדות קשה • לואיס הר: ""נקשרנו אליו והוא אלינו, הרגשנו שיש לנו גב והוא נתן לנו את כל הלב"" • וכשכבר היו סגורים יותר מדי זמן בין ארבע קירות, פרופ' פסח אף דאג לחטופים לטיול לילי",2024-06-16T01:00:03.000Z,2024-06-16T04:37:08.000Z
https://www.israelhayom.co.il/health/article/17195467,701891,74790,0.1065550064,"ביה""ח שיבא למשרד הבריאות: לחקור את ההדלפות על מצב החטופות","במרכז הרפואי מבקשים חקירה של הדלפות שהגיעו לתקשורת באשר למצבן של אמילי דמארי, רומי גונן ודורון שטיינברכר לאחר החזרה • ""הדלפות שפוגעות ביחסי האמון עם המשפחות""",2025-01-20T19:54:50.000Z,2025-01-20T20:01:13.000Z
https://www.israelhayom.co.il/health/article/17325750,646327,59284,0.09172446765,404,עמוד 404,,
https://www.israelhayom.co.il/health/article/16027419,687465,53586,0.07794724095,תגידו ביי ל-BMI: מדדי ההשמנה החדשים,"השמנה תוגדר מעתה גם לפי היחס בין היקף המותניים לגובה • 38% מהנשים ו-30% מהגברים בישראל עשויים להיות מושפעים מההגדרה החדשה • פרופ' דיקר: ""30% מהמבוגרים מעל גיל 45 חיים עם השמנה ולא מקבלים תמיכה רפואית""",2024-07-05T08:56:14.000Z,2024-07-05T09:35:18.000Z
https://www.israelhayom.co.il/health/article/15834596,441473,21408,0.04849220677,עלייה במשקל והשפעות על מערכת העיכול - כל הטעויות וההמלצות לצריכה נכונה יותר של חלבון,"ההמלצה לאדם בוגר היא בין 1-1.2 גרם חלבון לק״ג משקל הגוף. לאדם שמתאמן ההמלצה היא בין 1.2-1.4 גרם חלבון לק״ג משקל גוף, ולספורטאים בין 1.6-2 גרם לק״ג משקל גוף.",2024-05-30T09:39:25.000Z,2024-05-30T09:39:25.000Z
https://www.israelhayom.co.il/health/article/14923475,307998,32010,0.1039292463,.,.,2023-12-08T09:06:55.000Z,2024-01-11T10:02:06.000Z
https://www.israelhayom.co.il/health/article/17462523,314394,13526,0.04302244954,לראשונה: טיפול פורץ דרך בהפרעות בקצב הלב במרכז הרפואי שמיר,"הערכה: בישראל 300 אלף בני אדם סובלים מהתופעה • הטיפול החדשני פותח עם צוות ישראלי, בוצע היום (ראשון) על חולה בן 69 והסתיים בהצלחה",2025-03-02T15:32:50.000Z,2025-03-02T19:12:22.000Z
https://www.israelhayom.co.il/health/article/15073281,306699,57880,0.1887192329,משרד הבריאות: נשים שעברו טראומה מינית ב-7 באוקטובר לא רצו בהמשך טיפול,"בקרוב ייצא סרטון פרסומי וקמפיין הסברה לנושא הטיפול שניתן לנפגעים ונפגעות במרכזים האקוטיים, ובנוסף מתקיימים קורסים והדרכות למטפלים • ""כחלק מההכרות עם מאפייניה של פגיעה מינית, אנו מודעים לעובדה כי מלווים איתה תחושות בושה, אשם, פחד להכאיב לסביבה ועוד, ועל אחת כמה וכמה בנסיבות קשות אלה"", אומרים במשרד הבריאות",2024-01-09T13:29:17.000Z,2024-01-09T13:34:01.000Z
https://www.israelhayom.co.il/health/article/17283471,674694,62866,0.09317705508,"מנהל שיבא מתייחס לראשונה למצב החטופים: ""הליך השיקום יהיה ארוך וכואב""","פרופ' יצחק קרייס אמר את הדברים בפתיחת המחזור הראשון ללימודי רפואה באוניברסיטת רייכמן • לדבריו, ""המדינה לא תוכל לצמוח עד שכולם ישובו""",2025-02-02T16:56:27.000Z,2025-02-02T17:19:35.000Z
https://www.israelhayom.co.il/health/article/15788176,499318,43407,0.08693257603,"הישג במאבק נגד עישון: בג""ץ הוציא צו לקביעת תקנות נגד עישון בבתים","בעקבות עתירה של עמותת ""אוויר נקי"", דורש בית המשפט לאכוף את נושא מפגעי העשן החודר מדירה אחת לאחרת • מסקר שהגישה התביעה עלה כי 50% מבתי האב בישראל חשופים לעישון כפוי בתדירות גבוהה",2024-05-21T18:16:27.000Z,2024-05-21T18:24:23.000Z
https://www.israelhayom.co.il/health/article/16656617,230706,20624,0.08939516094,"לשכת האתיקה נגד רופאה שהתבטאה נגד אל""מ אחסאן דקסה ז""ל ברשת החברתית","ד""ר בתלה פלאח, מומחית ברפואה פנימית וקרדיולוגיה, מחזיקה ברישיון של משרד הבריאות לעסוק ברפואה בישראל • היא פרסמה באינסטגרם את תמונתו של אל""מ אחסאן דקסה ז""ל, מח""ט 401 שנהרג בקרב בצפון הרצועה, לצד התבטאות לא ראויה כלפיו • לשכת האתיקה ביקשה להתלות את רישיון העיסוק שלה: ""מומלץ כי רופאים ישקלו את דבריהם""",2024-10-23T08:13:33.000Z,2024-10-23T08:18:44.000Z
https://www.israelhayom.co.il/health/article/17126638,242973,35322,0.1453741774,"מחסור חריף בתרופות בבתי המרקחת: ""היסטריה מוחלטת""","חברת נובולוג, המפיצה הבלעדית של כל סוגי התרופות של חברות הפארמה הרב לאומיות, הודיעה על מעבר לתוכנת ניהול חדשה • מאז העברת התרופות מתעכבת • החברה: ""פועלים במחויבות מלאה ללקוחות ולשוק הבריאות""",2025-01-09T18:16:49.000Z,2025-01-09T18:29:13.000Z
